STATE, YEAR, CITY, Total Population,Population Density (Per Sq. Mile),Area (Land),Area Total,Area (Water),Male,Female,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,Households,Family Households,Married-Couple Family,Other Family,Male Householder No Wife Present,Female Householder No Husband Present,Nonfamily Households,Male Householder,Female Householder,Renter-Occupied Housing Units,1-Person Household,2-Person Household,3-Person Household,4-Person Household,5-Person Household,6-Person Household,7-or-More Person Household,Population 25 Years and Over,Less than High School,High School Graduate (Includes Equivalency),Some College,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,Population 16 Years and Over,In Labor Force,In Armed Forces,Civilian,Employed,Unemployed,Not in Labor Force,Civilian Population in Labor Force 16 Years and Over,Total Employed Civilian Population 16 Years and Over,Agriculture Forestry Fishing and Hunting and Mining,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing and Utilities,Information,Finance and Insurance and Real Estate and Rental  and Leasing,Professional Scientific and Management and    Administrative and Waste Management Services,Educational Services and Health Care and Social  Assistance,Arts Entertainment and Recreation and  Accommodation and Food Services,Other Services Except Public Administration,Public Administration,Average Household Income (In 2019 Inflation-Adjusted Dollars),Gini Index,Workers 16 Years and Over,Car Truck or Van,Drove Alone,Carpooled,Public Transportation (Includes Taxicab),Motorcycle,Bicycle,Walked,Other Means,Worked At Home
Alabama, 2019, Auburn city, null, 1101.76, 60.13, 61.15, 1.02, 33634.0, 32620.0, null, null, null, null, null, null, null, 26156.0, 13269.0, 10747.0, 2522.0, 321.0, 2201.0, 12887.0, 7224.0, 5663.0, 13061.0, 6114.0, 2854.0, 2909.0, 1127.0, 57.0, 0.0, 0.0, null, null, null, null, null, null, null, null, 54474.0, 33848.0, 0.0, 33848.0, 32623.0, 1225.0, 20626.0, 33848.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 77791.0, 0.56, null, null, null, null, null, null, null, null, null, null
Alabama, 2019, Birmingham city, 210080.0, 1438.22, 146.07, 148.62, 2.55, 98939.0, 111141.0, 58595.0, 142107.0, 1323.0, 3497.0, 0.0, 1877.0, 2681.0, 93300.0, 46816.0, 24531.0, 22285.0, 3452.0, 18833.0, 46484.0, 20715.0, 25769.0, 55512.0, 26828.0, 16118.0, 6946.0, 3258.0, 1610.0, 666.0, 86.0, 149277.0, 17352.0, 43461.0, 44368.0, 26271.0, 11773.0, 3764.0, 2288.0, 173416.0, 102973.0, 53.0, 102920.0, 95404.0, 7516.0, 70443.0, 102920.0, 95404.0, 103.0, 4483.0, 8640.0, 2220.0, 9218.0, 4229.0, 2196.0, 5260.0, 12374.0, 26315.0, 10346.0, 5909.0, 4111.0, 55896.0, 0.52, 93401.0, 83581.0, 75297.0, 8284.0, 1792.0, 327.0, 460.0, 2483.0, 2605.0, 2153.0
Alabama, 2019, Dothan city, 68522.0, 763.86, 89.7, 90.02, 0.32, 33029.0, 35493.0, 40302.0, 24139.0, 77.0, 847.0, 21.0, 1739.0, 1397.0, 27103.0, 16607.0, 11017.0, 5590.0, 893.0, 4697.0, 10496.0, 4346.0, 6150.0, 11212.0, 4966.0, 3046.0, 1382.0, 1147.0, 473.0, 187.0, 11.0, 48558.0, 7101.0, 13301.0, 15502.0, 8068.0, 3095.0, 1072.0, 419.0, 55351.0, 30085.0, 276.0, 29809.0, 27763.0, 2046.0, 25266.0, 29809.0, 27763.0, 9.0, 1165.0, 2204.0, 1140.0, 4401.0, 2182.0, 383.0, 1091.0, 2272.0, 7381.0, 3012.0, 1337.0, 1186.0, 71042.0, 0.51, null, null, null, null, null, null, null, null, null, null
Alabama, 2019, Hoover city, 85772.0, 1792.32, 47.86, 48.82, 0.96, 40719.0, 45053.0, 61453.0, 16972.0, 0.0, 3659.0, 0.0, 1978.0, 1710.0, 32461.0, 23672.0, 18441.0, 5231.0, 1590.0, 3641.0, 8789.0, 3776.0, 5013.0, 10070.0, 4037.0, 2564.0, 1319.0, 1373.0, 677.0, 100.0, 0.0, 58462.0, 2365.0, 7519.0, 15333.0, 18619.0, 9630.0, 3718.0, 1278.0, 66774.0, 44701.0, 252.0, 44449.0, 42808.0, 1641.0, 22073.0, 44449.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 122222.0, 0.42, null, null, null, null, null, null, null, null, null, null
Alabama, 2019, Huntsville city, 201594.0, 940.45, 214.36, 215.73, 1.37, 96741.0, 104853.0, 120229.0, 65522.0, 607.0, 3498.0, 132.0, 7133.0, 4473.0, 88930.0, 52166.0, 35403.0, 16763.0, 4325.0, 12438.0, 36764.0, 17519.0, 19245.0, 40202.0, 17452.0, 13086.0, 4648.0, 2970.0, 1279.0, 724.0, 43.0, 137274.0, 11860.0, 22840.0, 41229.0, 36462.0, 20380.0, 2099.0, 2404.0, 164486.0, 105108.0, 669.0, 104439.0, 100282.0, 4157.0, 59378.0, 104439.0, 100282.0, 159.0, 5347.0, 11820.0, 909.0, 10338.0, 3356.0, 1605.0, 4090.0, 19207.0, 20478.0, 11823.0, 4085.0, 7065.0, 76947.0, 0.48, 99433.0, 91635.0, 83626.0, 8009.0, 615.0, 109.0, 47.0, 1835.0, 590.0, 4602.0
Alabama, 2019, Mobile city, 188710.0, 1353.76, 139.4, 180.06, 40.66, 87907.0, 100803.0, 73758.0, 104747.0, 511.0, 3487.0, 61.0, 1305.0, 4841.0, 77628.0, 41260.0, 26133.0, 15127.0, 2763.0, 12364.0, 36368.0, 16599.0, 19769.0, 37175.0, 19054.0, 9824.0, 3961.0, 1413.0, 1489.0, 978.0, 456.0, 127563.0, 11789.0, 39850.0, 35625.0, 25019.0, 10469.0, 3081.0, 1730.0, 151726.0, 89803.0, 252.0, 89551.0, 84652.0, 4899.0, 61923.0, 89551.0, 84652.0, 583.0, 5056.0, 7736.0, 2781.0, 10562.0, 4101.0, 866.0, 4535.0, 8973.0, 21636.0, 8382.0, 4666.0, 4775.0, 63418.0, 0.48, null, null, null, null, null, null, null, null, null, null
Alabama, 2019, Montgomery city, 198525.0, 1241.99, 159.84, 162.18, 2.34, 93708.0, 104817.0, 62981.0, 120428.0, 591.0, 6933.0, 0.0, 3446.0, 4146.0, 78225.0, 45031.0, 25893.0, 19138.0, 2918.0, 16220.0, 33194.0, 15547.0, 17647.0, 35851.0, 16313.0, 8491.0, 4764.0, 3083.0, 1376.0, 1326.0, 498.0, 130848.0, 14314.0, 31847.0, 39381.0, 26054.0, 14546.0, 3273.0, 1433.0, 154371.0, 98871.0, 2672.0, 96199.0, 90902.0, 5297.0, 55500.0, 96199.0, 90902.0, 395.0, 4576.0, 10053.0, 2025.0, 8862.0, 4146.0, 972.0, 5998.0, 9535.0, 21328.0, 8940.0, 5255.0, 8817.0, 67998.0, 0.46, null, null, null, null, null, null, null, null, null, null
Alabama, 2019, Tuscaloosa city, 101133.0, 1638.88, 61.71, 71.78, 10.07, 49893.0, 51240.0, 50849.0, 46061.0, 0.0, 2808.0, 0.0, 233.0, 1182.0, 36779.0, 20176.0, 12508.0, 7668.0, 2639.0, 5029.0, 16603.0, 8462.0, 8141.0, 19672.0, 8396.0, 6206.0, 3656.0, 648.0, 653.0, 113.0, 0.0, 60968.0, 6783.0, 17068.0, 14998.0, 12677.0, 5690.0, 1621.0, 2131.0, 86556.0, 49002.0, 0.0, 49002.0, 46477.0, 2525.0, 37554.0, 49002.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 73073.0, 0.54, null, null, null, null, null, null, null, null, null, null
STATE, YEAR, CITY, Total Population,Population Density (Per Sq. Mile),Area (Land),Area Total,Area (Water),Male,Female,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,Households,Family Households,Married-Couple Family,Other Family,Male Householder No Wife Present,Female Householder No Husband Present,Nonfamily Households,Male Householder,Female Householder,Renter-Occupied Housing Units,1-Person Household,2-Person Household,3-Person Household,4-Person Household,5-Person Household,6-Person Household,7-or-More Person Household,Population 25 Years and Over,Less than High School,High School Graduate (Includes Equivalency),Some College,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,Population 16 Years and Over,In Labor Force,In Armed Forces,Civilian,Employed,Unemployed,Not in Labor Force,Civilian Population in Labor Force 16 Years and Over,Total Employed Civilian Population 16 Years and Over,Agriculture Forestry Fishing and Hunting and Mining,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing and Utilities,Information,Finance and Insurance and Real Estate and Rental  and Leasing,Professional Scientific and Management and    Administrative and Waste Management Services,Educational Services and Health Care and Social  Assistance,Arts Entertainment and Recreation and  Accommodation and Food Services,Other Services Except Public Administration,Public Administration,Average Household Income (In 2019 Inflation-Adjusted Dollars),Gini Index,Workers 16 Years and Over,Car Truck or Van,Drove Alone,Carpooled,Public Transportation (Includes Taxicab),Motorcycle,Bicycle,Walked,Other Means,Worked At Home
Alabama, 2019, Auburn city, null, 1101.76, 60.13, 61.15, 1.02, 33634.0, 32620.0, null, null, null, null, null, null, null, 26156.0, 13269.0, 10747.0, 2522.0, 321.0, 2201.0, 12887.0, 7224.0, 5663.0, 13061.0, 6114.0, 2854.0, 2909.0, 1127.0, 57.0, 0.0, 0.0, null, null, null, null, null, null, null, null, 54474.0, 33848.0, 0.0, 33848.0, 32623.0, 1225.0, 20626.0, 33848.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 77791.0, 0.56, null, null, null, null, null, null, null, null, null, null
