STATE, YEAR, CITY, Total Population,Population Density (Per Sq. Mile),Area (Land),Area Total,Area (Water),Male,Female,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,Households,Family Households,Married-Couple Family,Other Family,Male Householder No Wife Present,Female Householder No Husband Present,Nonfamily Households,Male Householder,Female Householder,Renter-Occupied Housing Units,1-Person Household,2-Person Household,3-Person Household,4-Person Household,5-Person Household,6-Person Household,7-or-More Person Household,Population 25 Years and Over,Less than High School,High School Graduate (Includes Equivalency),Some College,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,Population 16 Years and Over,In Labor Force,In Armed Forces,Civilian,Employed,Unemployed,Not in Labor Force,Civilian Population in Labor Force 16 Years and Over,Total Employed Civilian Population 16 Years and Over,Agriculture Forestry Fishing and Hunting and Mining,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing and Utilities,Information,Finance and Insurance and Real Estate and Rental  and Leasing,Professional Scientific and Management and    Administrative and Waste Management Services,Educational Services and Health Care and Social  Assistance,Arts Entertainment and Recreation and  Accommodation and Food Services,Other Services Except Public Administration,Public Administration,Average Household Income (In 2019 Inflation-Adjusted Dollars),Gini Index,Workers 16 Years and Over,Car Truck or Van,Drove Alone,Carpooled,Public Transportation (Includes Taxicab),Motorcycle,Bicycle,Walked,Other Means,Worked At Home,aggravated-assault, arson, burglary, homicide, human-trafficing, larceny, motor-vehicle-theft, property-crime, rape, rape-legacy, robbery, violent-crime
Alabama, 2019, Auburn city, null, 1101.76, 60.13, 61.15, 1.02, 33634.0, 32620.0, null, null, null, null, null, null, null, 26156.0, 13269.0, 10747.0, 2522.0, 321.0, 2201.0, 12887.0, 7224.0, 5663.0, 13061.0, 6114.0, 2854.0, 2909.0, 1127.0, 57.0, 0.0, 0.0, null, null, null, null, null, null, null, null, 54474.0, 33848.0, 0.0, 33848.0, 32623.0, 1225.0, 20626.0, 33848.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 77791.0, 0.56, null, null, null, null, null, null, null, null, null, null,0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0
Alabama, 2019, Birmingham city, 210080.0, 1438.22, 146.07, 148.62, 2.55, 98939.0, 111141.0, 58595.0, 142107.0, 1323.0, 3497.0, 0.0, 1877.0, 2681.0, 93300.0, 46816.0, 24531.0, 22285.0, 3452.0, 18833.0, 46484.0, 20715.0, 25769.0, 55512.0, 26828.0, 16118.0, 6946.0, 3258.0, 1610.0, 666.0, 86.0, 149277.0, 17352.0, 43461.0, 44368.0, 26271.0, 11773.0, 3764.0, 2288.0, 173416.0, 102973.0, 53.0, 102920.0, 95404.0, 7516.0, 70443.0, 102920.0, 95404.0, 103.0, 4483.0, 8640.0, 2220.0, 9218.0, 4229.0, 2196.0, 5260.0, 12374.0, 26315.0, 10346.0, 5909.0, 4111.0, 55896.0, 0.52, 93401.0, 83581.0, 75297.0, 8284.0, 1792.0, 327.0, 460.0, 2483.0, 2605.0, 2153.0,26, 0, 6, 0, 0, 204, 5, 215, 0, 0, 2, 28
Alabama, 2019, Dothan city, 68522.0, 763.86, 89.7, 90.02, 0.32, 33029.0, 35493.0, 40302.0, 24139.0, 77.0, 847.0, 21.0, 1739.0, 1397.0, 27103.0, 16607.0, 11017.0, 5590.0, 893.0, 4697.0, 10496.0, 4346.0, 6150.0, 11212.0, 4966.0, 3046.0, 1382.0, 1147.0, 473.0, 187.0, 11.0, 48558.0, 7101.0, 13301.0, 15502.0, 8068.0, 3095.0, 1072.0, 419.0, 55351.0, 30085.0, 276.0, 29809.0, 27763.0, 2046.0, 25266.0, 29809.0, 27763.0, 9.0, 1165.0, 2204.0, 1140.0, 4401.0, 2182.0, 383.0, 1091.0, 2272.0, 7381.0, 3012.0, 1337.0, 1186.0, 71042.0, 0.51, null, null, null, null, null, null, null, null, null, null,311, 0, 223, 8, 0, 1178, 138, 1539, 18, 0, 43, 380
Alabama, 2019, Hoover city, 85772.0, 1792.32, 47.86, 48.82, 0.96, 40719.0, 45053.0, 61453.0, 16972.0, 0.0, 3659.0, 0.0, 1978.0, 1710.0, 32461.0, 23672.0, 18441.0, 5231.0, 1590.0, 3641.0, 8789.0, 3776.0, 5013.0, 10070.0, 4037.0, 2564.0, 1319.0, 1373.0, 677.0, 100.0, 0.0, 58462.0, 2365.0, 7519.0, 15333.0, 18619.0, 9630.0, 3718.0, 1278.0, 66774.0, 44701.0, 252.0, 44449.0, 42808.0, 1641.0, 22073.0, 44449.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 122222.0, 0.42, null, null, null, null, null, null, null, null, null, null,68, 2, 128, 4, 0, 1696, 101, 1925, 16, 14, 27, 115
Alabama, 2019, Huntsville city, 201594.0, 940.45, 214.36, 215.73, 1.37, 96741.0, 104853.0, 120229.0, 65522.0, 607.0, 3498.0, 132.0, 7133.0, 4473.0, 88930.0, 52166.0, 35403.0, 16763.0, 4325.0, 12438.0, 36764.0, 17519.0, 19245.0, 40202.0, 17452.0, 13086.0, 4648.0, 2970.0, 1279.0, 724.0, 43.0, 137274.0, 11860.0, 22840.0, 41229.0, 36462.0, 20380.0, 2099.0, 2404.0, 164486.0, 105108.0, 669.0, 104439.0, 100282.0, 4157.0, 59378.0, 104439.0, 100282.0, 159.0, 5347.0, 11820.0, 909.0, 10338.0, 3356.0, 1605.0, 4090.0, 19207.0, 20478.0, 11823.0, 4085.0, 7065.0, 76947.0, 0.48, 99433.0, 91635.0, 83626.0, 8009.0, 615.0, 109.0, 47.0, 1835.0, 590.0, 4602.0,4, 0, 13, 0, 0, 53, 2, 68, 0, 0, 0, 4
Alabama, 2019, Tuscaloosa city, 101133.0, 1638.88, 61.71, 71.78, 10.07, 49893.0, 51240.0, 50849.0, 46061.0, 0.0, 2808.0, 0.0, 233.0, 1182.0, 36779.0, 20176.0, 12508.0, 7668.0, 2639.0, 5029.0, 16603.0, 8462.0, 8141.0, 19672.0, 8396.0, 6206.0, 3656.0, 648.0, 653.0, 113.0, 0.0, 60968.0, 6783.0, 17068.0, 14998.0, 12677.0, 5690.0, 1621.0, 2131.0, 86556.0, 49002.0, 0.0, 49002.0, 46477.0, 2525.0, 37554.0, 49002.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 73073.0, 0.54, null, null, null, null, null, null, null, null, null, null,233, 0, 410, 4, 0, 1973, 174, 2557, 20, 0, 111, 368
California, 2019, Alameda city, 77630.0, 7434.18, 10.44, 23.1, 12.66, 39256.0, 38374.0, 34922.0, 6467.0, 418.0, 25234.0, 96.0, 4025.0, 6468.0, 30788.0, 18158.0, 13929.0, 4229.0, 723.0, 3506.0, 12630.0, 6048.0, 6582.0, 16521.0, 6903.0, 5437.0, 1711.0, 1744.0, 616.0, 61.0, 49.0, 56365.0, 4997.0, 7109.0, 12030.0, 19910.0, 7795.0, 3140.0, 1384.0, 63509.0, 42823.0, 650.0, 42173.0, 40937.0, 1236.0, 20686.0, 42173.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 143587.0, 0.46, 40595.0, 24610.0, 22061.0, 2549.0, 10187.0, 344.0, 1056.0, 1218.0, 583.0, 2597.0,61, 29, 218, 0, 0, 1958, 403, 2579, 7, 0, 94, 162
California, 2019, Alhambra city, 83732.0, 10972.6, 7.63, 7.63, 0.0, 41709.0, 42023.0, 17800.0, 2361.0, 540.0, 45339.0, 0.0, 14799.0, 2893.0, 28777.0, 19551.0, 13647.0, 5904.0, 1678.0, 4226.0, 9226.0, 4853.0, 4373.0, 15947.0, 3809.0, 4593.0, 3473.0, 2305.0, 1382.0, 343.0, 42.0, 62028.0, 10187.0, 14697.0, 13545.0, 14668.0, 5895.0, 1997.0, 1039.0, 70780.0, 46434.0, 48.0, 46386.0, 44496.0, 1890.0, 24346.0, 46386.0, 44496.0, 168.0, 1660.0, 4087.0, 1317.0, 4580.0, 3361.0, 1054.0, 3193.0, 4611.0, 10590.0, 5218.0, 2089.0, 2568.0, 100279.0, 0.45, null, null, null, null, null, null, null, null, null, null,59, 8, 259, 2, 0, 1303, 187, 1749, 11, 0, 89, 161
California, 2019, Anaheim city, 350351.0, 6962.38, 50.32, 50.93, 0.61, 173279.0, 177072.0, 228882.0, 12032.0, 2545.0, 63812.0, 2336.0, 29529.0, 11215.0, 105301.0, 76941.0, 52754.0, 24187.0, 7602.0, 16585.0, 28360.0, 14812.0, 13548.0, 56731.0, 11986.0, 14814.0, 9437.0, 8672.0, 6741.0, 2440.0, 2641.0, 236324.0, 52532.0, 56179.0, 66420.0, 39645.0, 15071.0, 4589.0, 1888.0, 281221.0, 194139.0, 575.0, 193564.0, 186332.0, 7232.0, 87082.0, 193564.0, 186332.0, 918.0, 15793.0, 22536.0, 5531.0, 17485.0, 8204.0, 3620.0, 12864.0, 23471.0, 37525.0, 25724.0, 6683.0, 5978.0, 98838.0, 0.42, 183442.0, 163126.0, 144016.0, 19110.0, 5854.0, 666.0, 1059.0, 2621.0, 2771.0, 7345.0,575, 44, 1123, 8, 0, 5904, 1231, 8258, 141, 0, 396, 1120
California, 2019, Antioch city, 111506.0, 3799.66, 29.35, 30.12, 0.78, 50673.0, 60833.0, 40859.0, 23551.0, 563.0, 18317.0, 762.0, 19182.0, 8272.0, 36138.0, 24819.0, 16566.0, 8253.0, 1712.0, 6541.0, 11319.0, 6173.0, 5146.0, 13221.0, 4447.0, 2358.0, 2286.0, 1689.0, 894.0, 1057.0, 490.0, 77737.0, 11318.0, 22135.0, 28402.0, 10053.0, 5143.0, 256.0, 430.0, 90801.0, 57492.0, 0.0, 57492.0, 52096.0, 5396.0, 33309.0, 57492.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 96416.0, 0.45, 51280.0, 42650.0, 33602.0, 9048.0, 4197.0, 0.0, 179.0, 602.0, 397.0, 3255.0,343, 59, 511, 12, 0, 2078, 610, 3199, 55, 0, 238, 648
