STATE, YEAR, CITY, Total Population,Population Density (Per Sq. Mile),Area (Land),Area Total,Area (Water),Male,Female,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,Households,Family Households,Married-Couple Family,Other Family,Male Householder No Wife Present,Female Householder No Husband Present,Nonfamily Households,Male Householder,Female Householder,Renter-Occupied Housing Units,1-Person Household,2-Person Household,3-Person Household,4-Person Household,5-Person Household,6-Person Household,7-or-More Person Household,Population 25 Years and Over,Less than High School,High School Graduate (Includes Equivalency),Some College,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,Population 16 Years and Over,In Labor Force,In Armed Forces,Civilian,Employed,Unemployed,Not in Labor Force,Civilian Population in Labor Force 16 Years and Over,Total Employed Civilian Population 16 Years and Over,Agriculture Forestry Fishing and Hunting and Mining,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing and Utilities,Information,Finance and Insurance and Real Estate and Rental  and Leasing,Professional Scientific and Management and    Administrative and Waste Management Services,Educational Services and Health Care and Social  Assistance,Arts Entertainment and Recreation and  Accommodation and Food Services,Other Services Except Public Administration,Public Administration,Average Household Income (In 2019 Inflation-Adjusted Dollars),Gini Index,Workers 16 Years and Over,Car Truck or Van,Drove Alone,Carpooled,Public Transportation (Includes Taxicab),Motorcycle,Bicycle,Walked,Other Means,Worked At Home,aggravated-assault, arson, burglary, homicide, human-trafficing, larceny, motor-vehicle-theft, property-crime, rape, rape-legacy, robbery, violent-crime
Alabama, 2019, Auburn city, null, 1101.76, 60.13, 61.15, 1.02, 33634.0, 32620.0, null, null, null, null, null, null, null, 26156.0, 13269.0, 10747.0, 2522.0, 321.0, 2201.0, 12887.0, 7224.0, 5663.0, 13061.0, 6114.0, 2854.0, 2909.0, 1127.0, 57.0, 0.0, 0.0, null, null, null, null, null, null, null, null, 54474.0, 33848.0, 0.0, 33848.0, 32623.0, 1225.0, 20626.0, 33848.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 77791.0, 0.56, null, null, null, null, null, null, null, null, null, null,0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0
Alabama, 2019, Birmingham city, 210080.0, 1438.22, 146.07, 148.62, 2.55, 98939.0, 111141.0, 58595.0, 142107.0, 1323.0, 3497.0, 0.0, 1877.0, 2681.0, 93300.0, 46816.0, 24531.0, 22285.0, 3452.0, 18833.0, 46484.0, 20715.0, 25769.0, 55512.0, 26828.0, 16118.0, 6946.0, 3258.0, 1610.0, 666.0, 86.0, 149277.0, 17352.0, 43461.0, 44368.0, 26271.0, 11773.0, 3764.0, 2288.0, 173416.0, 102973.0, 53.0, 102920.0, 95404.0, 7516.0, 70443.0, 102920.0, 95404.0, 103.0, 4483.0, 8640.0, 2220.0, 9218.0, 4229.0, 2196.0, 5260.0, 12374.0, 26315.0, 10346.0, 5909.0, 4111.0, 55896.0, 0.52, 93401.0, 83581.0, 75297.0, 8284.0, 1792.0, 327.0, 460.0, 2483.0, 2605.0, 2153.0,26, 0, 6, 0, 0, 204, 5, 215, 0, 0, 2, 28
Alabama, 2019, Dothan city, 68522.0, 763.86, 89.7, 90.02, 0.32, 33029.0, 35493.0, 40302.0, 24139.0, 77.0, 847.0, 21.0, 1739.0, 1397.0, 27103.0, 16607.0, 11017.0, 5590.0, 893.0, 4697.0, 10496.0, 4346.0, 6150.0, 11212.0, 4966.0, 3046.0, 1382.0, 1147.0, 473.0, 187.0, 11.0, 48558.0, 7101.0, 13301.0, 15502.0, 8068.0, 3095.0, 1072.0, 419.0, 55351.0, 30085.0, 276.0, 29809.0, 27763.0, 2046.0, 25266.0, 29809.0, 27763.0, 9.0, 1165.0, 2204.0, 1140.0, 4401.0, 2182.0, 383.0, 1091.0, 2272.0, 7381.0, 3012.0, 1337.0, 1186.0, 71042.0, 0.51, null, null, null, null, null, null, null, null, null, null,311, 0, 223, 8, 0, 1178, 138, 1539, 18, 0, 43, 380
Alabama, 2019, Hoover city, 85772.0, 1792.32, 47.86, 48.82, 0.96, 40719.0, 45053.0, 61453.0, 16972.0, 0.0, 3659.0, 0.0, 1978.0, 1710.0, 32461.0, 23672.0, 18441.0, 5231.0, 1590.0, 3641.0, 8789.0, 3776.0, 5013.0, 10070.0, 4037.0, 2564.0, 1319.0, 1373.0, 677.0, 100.0, 0.0, 58462.0, 2365.0, 7519.0, 15333.0, 18619.0, 9630.0, 3718.0, 1278.0, 66774.0, 44701.0, 252.0, 44449.0, 42808.0, 1641.0, 22073.0, 44449.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 122222.0, 0.42, null, null, null, null, null, null, null, null, null, null,68, 2, 128, 4, 0, 1696, 101, 1925, 16, 14, 27, 115
Alabama, 2019, Huntsville city, 201594.0, 940.45, 214.36, 215.73, 1.37, 96741.0, 104853.0, 120229.0, 65522.0, 607.0, 3498.0, 132.0, 7133.0, 4473.0, 88930.0, 52166.0, 35403.0, 16763.0, 4325.0, 12438.0, 36764.0, 17519.0, 19245.0, 40202.0, 17452.0, 13086.0, 4648.0, 2970.0, 1279.0, 724.0, 43.0, 137274.0, 11860.0, 22840.0, 41229.0, 36462.0, 20380.0, 2099.0, 2404.0, 164486.0, 105108.0, 669.0, 104439.0, 100282.0, 4157.0, 59378.0, 104439.0, 100282.0, 159.0, 5347.0, 11820.0, 909.0, 10338.0, 3356.0, 1605.0, 4090.0, 19207.0, 20478.0, 11823.0, 4085.0, 7065.0, 76947.0, 0.48, 99433.0, 91635.0, 83626.0, 8009.0, 615.0, 109.0, 47.0, 1835.0, 590.0, 4602.0,4, 0, 13, 0, 0, 53, 2, 68, 0, 0, 0, 4
Alabama, 2019, Tuscaloosa city, 101133.0, 1638.88, 61.71, 71.78, 10.07, 49893.0, 51240.0, 50849.0, 46061.0, 0.0, 2808.0, 0.0, 233.0, 1182.0, 36779.0, 20176.0, 12508.0, 7668.0, 2639.0, 5029.0, 16603.0, 8462.0, 8141.0, 19672.0, 8396.0, 6206.0, 3656.0, 648.0, 653.0, 113.0, 0.0, 60968.0, 6783.0, 17068.0, 14998.0, 12677.0, 5690.0, 1621.0, 2131.0, 86556.0, 49002.0, 0.0, 49002.0, 46477.0, 2525.0, 37554.0, 49002.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 73073.0, 0.54, null, null, null, null, null, null, null, null, null, null,233, 0, 410, 4, 0, 1973, 174, 2557, 20, 0, 111, 368
Arizona, 2019, Avondale city, 87917.0, 1942.96, 45.25, 45.32, 0.07, 42552.0, 45365.0, 61927.0, 9896.0, 1072.0, 1707.0, 602.0, 9326.0, 3387.0, 25339.0, 19254.0, 13062.0, 6192.0, 1838.0, 4354.0, 6085.0, 3100.0, 2985.0, 10440.0, 2064.0, 2185.0, 2004.0, 1731.0, 1403.0, 575.0, 478.0, 52292.0, 8658.0, 15131.0, 17757.0, 7948.0, 2431.0, 49.0, 318.0, 64945.0, 48114.0, 421.0, 47693.0, 44391.0, 3302.0, 16831.0, 47693.0, 44391.0, 510.0, 3286.0, 4217.0, 731.0, 7834.0, 3743.0, 880.0, 3686.0, 4523.0, 7800.0, 2820.0, 1989.0, 2372.0, 85589.0, 0.38, null, null, null, null, null, null, null, null, null, null,147, 16, 381, 1, 0, 2467, 247, 3095, 21, 0, 82, 251
Arizona, 2019, Buckeye city, 79624.0, 202.54, 393.13, 393.26, 0.13, 41967.0, 37657.0, 61615.0, 6149.0, 718.0, 510.0, 171.0, 7492.0, 2969.0, 21691.0, 18061.0, 14515.0, 3546.0, 1369.0, 2177.0, 3630.0, 2268.0, 1362.0, 3304.0, 305.0, 523.0, 1293.0, 404.0, 472.0, 307.0, 0.0, 51939.0, 3913.0, 16861.0, 19046.0, 8492.0, 2511.0, 788.0, 328.0, 60100.0, 36778.0, 485.0, 36293.0, 34753.0, 1540.0, 23322.0, 36293.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 96126.0, 0.34, null, null, null, null, null, null, null, null, null, null,69, 1, 146, 2, 0, 1050, 69, 1265, 26, 0, 10, 107
Arizona, 2019, Chandler city, 261149.0, 4018.84, 64.98, 65.07, 0.09, 128039.0, 133110.0, 180690.0, 14417.0, 6305.0, 30649.0, 122.0, 14471.0, 14495.0, 94035.0, 65233.0, 50249.0, 14984.0, 4517.0, 10467.0, 28802.0, 14056.0, 14746.0, 30744.0, 10501.0, 7846.0, 4593.0, 4691.0, 1592.0, 961.0, 560.0, 176377.0, 13451.0, 30972.0, 51888.0, 51654.0, 23155.0, 1842.0, 3415.0, 203854.0, 142463.0, 18.0, 142445.0, 137863.0, 4582.0, 61391.0, 142445.0, 137863.0, 478.0, 7654.0, 18589.0, 3340.0, 12678.0, 6804.0, 2415.0, 13802.0, 18333.0, 30548.0, 12944.0, 5785.0, 4493.0, 111144.0, 0.42, 136300.0, 121278.0, 107982.0, 13296.0, 1800.0, 273.0, 599.0, 1129.0, 1757.0, 9464.0,353, 19, 547, 4, 0, 4458, 377, 5382, 134, 0, 102, 593
Arizona, 2019, Flagstaff city, 75044.0, 1136.64, 66.02, 66.07, 0.05, 38785.0, 36259.0, 58558.0, 1242.0, 3846.0, 2628.0, 308.0, 3364.0, 5098.0, 25609.0, 12509.0, 10077.0, 2432.0, 889.0, 1543.0, 13100.0, 7347.0, 5753.0, 13501.0, 4872.0, 4913.0, 1743.0, 1611.0, 257.0, 0.0, 105.0, 38488.0, 1172.0, 5893.0, 11683.0, 10258.0, 6461.0, 1355.0, 1666.0, 64412.0, 43304.0, 0.0, 43304.0, 39483.0, 3821.0, 21108.0, 43304.0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 81277.0, 0.48, null, null, null, null, null, null, null, null, null, null,281, 33, 140, 1, 0, 2169, 62, 2371, 42, 0, 43, 367
